Country,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Afghanistan,58.8,279,74,0.01,79.67936736,66,1989,16.7,102,66,9.2,66,0.1,553.32894,2883167,18.4,18.4,0.448,9.2
Albania,76.2,91,1,5.28,41.82275719,99,10,54.3,1,99,5.34,99,0.1,494.358832,291321,1.4,1.5,0.725,12.5
Algeria,74.7,119,21,0.45,430.7175861,95,103,53.9,24,95,5.12,95,0.1,4463.394675,36117637,5.9,5.8,0.714,13.6
Angola,49.6,365,78,7.8,191.6537407,77,1190,2.4,121,81,3.39,77,2.5,3529.53482,23369131,9.1,9,0.488,9
Antigua and Barbuda,75.6,138,0,7.84,1983.956937,98,0,44.4,0,99,5.63,98,0.1,12126.87614,,3.3,3.3,0.783,14.1
Argentina,75.5,121,10,8.15,187.610955,94,17,59.8,11,95,6.55,94,0.1,1276.265,41223889,1,0.9,0.802,16.8
Armenia,73.5,132,1,4.23,224.3212014,94,2,51.2,1,96,4.56,94,0.1,3218.381655,2877311,2,2.1,0.72,12.3
Australia,81.9,64,1,10.52,8875.786493,92,70,63.9,1,92,9.2,92,0.1,51874.848,223175,0.7,0.6,0.927,19.5
Austria,84,75,0,12.1,7423.228774,86,52,55.2,0,86,11.17,86,0.1,46657.629,836344,1.7,1.9,0.872,15.4
Azerbaijan,71.1,13,5,1.98,246.5686008,8,0,48,6,85,5.33,81,0.1,5842.85784,954332,2.8,2.9,0.737,11.7
Bahamas,75,161,0,9.19,0,98,0,61.3,0,97,7.44,99,0.2,,,2.5,2.5,0.788,12.6
Bahrain,76.1,73,0,1.93,266.7696122,99,0,6.1,0,99,3.64,99,0.1,2722.1389,,6,5.9,0.81,14.4
Bangladesh,69.9,142,126,0.01,62.65945432,94,788,15.2,161,94,3.6,94,0.1,757.6717572,15214912,18.9,19.4,0.535,8.9
Barbados,74.7,16,0,8.41,154.9630863,86,0,5.7,0,9,6.17,86,0.1,1595.91232,,3.8,3.8,0.781,15.8
Belarus,73,222,0,14.44,8.49409518,96,1,59.3,1,99,5.55,98,0.1,63.38877,949583,2,2.2,0.78,15.5
Belgium,80,81,0,10.22,665.7356115,97,40,61.9,1,98,1.17,98,0.1,4438.23741,1895586,0.9,0.9,0.878,15.9
Belize,69.5,186,0,6.76,569.9527122,96,0,47,0,96,5.85,96,0.2,4344.15177,32168,3.5,3.4,0.7,12.4
Benin,58.7,254,25,1.33,94.25737917,76,392,23,39,77,4.95,76,1.4,757.695974,9199259,7.8,7.6,0.451,9.5
Bhutan,67.9,228,1,0.28,244.0391949,91,21,2.3,1,92,5.17,91,0.5,2178.921383,727641,16.6,17.3,0,11.4
Bolivia (Plurinational State of),68.7,22,9,3.95,0,91,0,49.3,12,9,5.44,91,0.2,,,1.2,1.1,0.643,13.8
Bosnia and Herzegovina,76.4,94,0,4.54,630.3883564,89,45,53.1,0,9,9.58,89,0.1,4611.47298,372284,2.6,2.6,0.717,13.3
Botswana,61.1,349,2,5.99,547.0386679,95,853,35.2,3,96,5.64,95,6.2,6346.15624,214866,8,7.8,0.669,12.3
Brazil,73.8,154,54,7.52,1111.191325,96,68,52,61,99,8.27,99,0.1,11224.1548,196796269,2.9,2.9,0.716,13.8
Brunei Darussalam,76.9,79,0,0.88,2218.364226,96,0,36.2,0,99,2.73,95,0.1,35268.1117,,5.9,5.4,0.845,14.2
Bulgaria,73.4,147,1,10.8,766.4454884,95,22004,62.7,1,94,7.24,94,0.1,6843.263289,7395599,2,2,0.77,13.9
Burkina Faso,57.5,279,43,4.55,90.46018236,91,2511,16.6,74,9,7.17,91,1,575.4464527,1565217,9,8.6,0.365,6.3
Burundi,56.8,33,23,4.16,31.14187566,96,495,16.1,34,94,8.82,96,1.9,231.1943256,876693,7.7,7.7,0.361,9.3
Côte d'Ivoire,51.5,417,60,3.15,0,85,441,25,84,81,6.32,85,3.3,,,6.3,6.2,,
Cabo Verde,72.5,123,0,4.75,286.8907303,98,0,27.5,0,99,4.83,99,0.4,3312.825985,52384,7.4,7.4,0.627,12.7
Cambodia,66.6,192,14,2.2,56.88416481,89,1156,16.4,16,88,5.95,89,0.5,785.6928841,143874,11,11.3,0.519,10.6
Cameroon,55.3,37,53,6.15,100.8987451,84,240,26,82,83,5.28,84,5.5,1182.869227,1997495,6.1,6.2,0.48,9.7
Canada,81.2,7,2,8.4,8649.674911,56,99,64.1,2,88,11.2,89,0.1,47447.4762,345274,0.5,0.4,0.898,15.9
Central African Republic,49.2,446,17,1.67,43.48359197,45,2,2.2,24,46,3.9,45,6.6,446.4434494,4448525,9,8.9,0.352,6.6
Chad,51.2,364,46,0.5,43.57328908,39,194,17.1,80,43,2.95,39,4.1,896.5697341,1188722,9.4,9.3,0.36,6.7
Chile,79.1,89,2,7.93,177.4925143,92,0,6.6,2,92,6.97,92,0.1,1286.17764,16993354,0.8,0.9,0.815,15.2
China,75,92,231,5.75,5.660754839,99,38159,28.1,268,99,4.89,99,0.1,456.512487,133775,4.2,3.6,0.691,12.5
Colombia,73.6,15,12,4.28,113.2436346,88,0,54.2,15,88,6.76,88,0.1,625.65544,4591897,2.2,2,0.695,12.8
Comoros,61.8,246,2,0.15,47.30421873,74,0,21.6,2,82,5.82,74,0.1,769.1742883,689692,7.1,6.9,0.476,10.5
Congo,62,298,7,3.53,0,74,4,24.5,10,72,2.29,74,3.8,,,8.1,7.7,0.548,10.5
Costa Rica,78.1,16,1,3.58,2377.010299,89,0,55.5,1,93,9.66,88,0.1,8199.414621,454528,1.8,1.8,0.749,13.3
Croatia,76.6,16,0,12.1,206.8868182,97,7,6.6,0,97,8.25,97,0.1,1355.74586,4417781,1.6,1.6,0.803,14.2
Cuba,78,98,1,4.13,787.2808163,96,0,57.7,1,99,1.19,96,0.1,5676.14143,,3.4,3.2,0.784,17.6
Cyprus,79.5,59,0,11.32,283.3300258,96,18,57.8,0,99,7.23,99,0.1,3818.46396,111267,0.9,1,0.853,14.6
Czechia,77.5,99,0,12.69,0,99,0,63.6,0,99,7.43,99,0.1,,,1.9,2,,
Democratic People's Republic of Korea,69,157,8,3.12,0,93,0,3.3,10,99,,93,0.1,,,5.2,5.2,,
Democratic Republic of the Congo,57.4,283,239,1.81,0,6,5407,19.1,321,76,4.4,6,1.6,,,1.4,1.2,,
Denmark,79.2,84,0,10.28,954.4865933,,5,57,0,9,11.8,9,0.1,5841.41122,5547683,1.1,0.9,0.906,16.8
Djibouti,61.3,273,1,0.44,187.4960097,88,7,32.2,2,88,8.84,88,3.1,1325.99724,851146,5.6,5.6,0.441,5.5
Dominican Republic,72.7,166,6,6.02,664.5585242,83,0,53.6,8,85,4.6,88,0.9,5451.6696,9897985,3.3,3.3,0.697,12.9
Ecuador,75,134,7,3.95,367.9285652,9,0,5.7,8,88,5.9,91,0.1,4657.32361,1493469,1.3,1.2,0.703,13.1
Egypt,70,173,54,0.22,0,97,16,57,64,97,4.8,97,0.1,,,3,2.9,0.665,12.2
El Salvador,72,191,2,2.36,469.3904193,89,0,52.8,2,89,6.91,89,0.3,3474.392445,6164626,1.7,1.6,0.662,12.9
Equatorial Guinea,56.1,339,3,9.93,1192.696619,,0,22.1,4,59,3.84,44,7.2,17136.44568,95114,9,9,0.589,9.2
Eritrea,62.1,298,6,0.61,17.35739784,9,51,16,9,9,3.24,9,0.9,482.14994,43984,8.9,8.8,0.404,5.1
Estonia,75.6,137,0,14.97,1802.017593,94,0,57.6,0,94,6.25,94,0.1,14638.6482,1331475,1.9,2,0.833,16.2
Ethiopia,61.8,261,162,1.34,67.73374413,62,4235,15.6,243,69,6.86,61,1.7,341.39992,877267,11,1.7,0.401,8.1
Fiji,69.1,2,0,2.25,62.08343533,99,0,58.7,0,99,4.23,99,0.1,3651.966784,85995,4,3.7,0.706,14.6
Finland,79.9,89,0,9.72,591.6691405,,5,6.2,0,99,9.5,99,0.1,4622.41516,5363352,0.9,0.8,0.874,16.8
France,81.3,86,3,11.7,72.8001211,65,5048,6.1,3,99,11.2,99,0.1,473.34279,6527512,0.6,0.6,0.879,16
Gabon,62.3,294,2,8.85,145.318282,67,1,33.5,3,68,3.41,67,7,8754.113376,16421,6.5,6.4,0.66,12.5
Gambia,59.3,284,3,3.48,0,97,2,24.1,6,97,5.75,97,2.1,,,8.2,8.1,0.439,8.8
Georgia,73.8,132,1,7.24,194.1732658,95,22,52,1,88,1.5,92,0.1,2964.47734,3926,2.6,2.8,0.738,13.3
Germany,81,76,2,11.2,7584.078579,88,780,59.9,3,94,11.25,95,0.1,41785.55691,8177693,1.1,1.1,0.907,16.7
Ghana,69,267,40,1.69,195.9824626,94,641,25.5,59,94,5.33,94,1.9,1312.67557,2451214,7.1,7,0.547,10.5
Greece,83,76,0,9,3189.754439,95,149,63.7,0,99,9.18,99,0.1,26917.75898,11121341,0.8,0.7,0.859,16.4
Grenada,72.6,154,0,7.91,145.8401998,97,0,43.9,0,94,6.41,97,0.1,7365.666659,,3.8,3.8,0,15.8
Guatemala,77,196,12,2.14,443.3248254,94,0,47.2,14,94,6.64,94,0.4,2825.5247,1463417,1.3,1.3,0.602,10.5
Guinea,57.8,291,29,0.2,29.74734049,64,45,2.8,44,62,4.55,64,2.2,438.7513346,179417,8.2,8.2,0.38,8.3
Guinea-Bissau,56.7,287,4,3.21,53.30782696,83,26,23.1,7,82,6.7,83,5.9,543.957418,155588,8,7.9,0.405,8.9
Guyana,65.9,221,0,7.52,48.02859441,95,0,42.4,1,95,6.6,95,0.4,326.281212,746556,5.6,5.3,0.618,10.2
Haiti,36.3,682,23,5.76,36.2929176,,0,44.2,58,66,8.9,66,1.9,662.2795182,9999617,4,4,0.47,8.6
Honduras,73.6,156,4,3.1,302.1057507,97,0,46.8,5,97,8.45,97,0.4,1932.85829,8194778,2.3,2.2,0.606,11.5
Hungary,74.5,156,0,10.78,19.22023996,,0,61.7,1,99,7.85,99,0.1,1325.53379,123,1.8,1.8,0.817,15.3
Iceland,81.8,53,0,8.25,6005.575763,,0,58.9,0,96,8.86,96,0.1,41676.44527,31841,0.9,0.9,0.894,18.4
India,66.4,196,1200,2.77,57.73359864,38,31458,15.9,1600,76,4.28,79,0.2,1345.77153,12398691,27,27.8,0.569,10.4
Indonesia,68.1,187,138,0.08,190.5453646,83,18869,22.9,167,82,2.74,81,0.3,3113.48635,242524123,1.6,1.5,0.656,12.1
Iran (Islamic Republic of),74.1,16,22,0.03,0,99,538,53.6,26,99,8.2,99,0.1,,,7.8,8,0.735,12.9
Iraq,76,145,32,0.19,21.82252494,72,492,55.8,39,74,3.82,74,0.1,452.74948,376271,5.3,5.1,0.646,10.4
Ireland,86,68,0,11.88,4509.234803,46,443,58.9,0,94,8.76,94,0.1,48538.58776,456155,0.3,0.2,0.907,18.2
Israel,81.7,61,1,2.63,409.4109292,97,23,63,1,95,7.36,95,0.1,3661.994,76236,1.2,1.1,0.878,15.7
Italy,81.8,6,2,6.95,5219.668802,96,372,61,2,96,9.42,96,0.1,35849.37364,59277417,0.5,0.5,0.869,16.4
Jamaica,75,138,1,3.55,396.6270975,94,0,5.5,1,94,5.3,94,0.5,4682.728424,281721,1.8,1.7,0.721,12.7
Japan,83,62,3,6.9,863.0061491,,450,26.9,4,98,9.58,97,0.1,4457.67639,1287,1.9,1.6,0.879,15.1
Jordan,73.4,117,4,0.51,715.9709092,98,0,61.7,4,98,8.42,98,0.1,3679.19275,718239,3.8,3.8,0.739,13.2
Kazakhstan,67.8,236,7,6.83,11.1516268,99,4,49.2,8,98,4.42,99,0.1,97.649972,16321581,2.3,2.5,0.763,14.5
Kenya,63,294,61,1.73,56.58984221,9,95,18.9,89,9,3.97,9,4.3,967.34773,4135152,8.2,8,0.523,11.1
Kiribati,65.3,27,0,0.48,18.21661422,91,0,75.2,0,95,1.52,91,0.1,1493.1651,12652,0.1,0.1,0.584,11.9
Kuwait,74,86,1,0.01,2009.575605,99,13,68.4,1,98,2.76,98,0.1,38497.61696,,3.3,3.2,0.79,13.5
Kyrgyzstan,68.8,199,4,2.73,0,96,0,4.7,4,88,6.66,96,0.1,,,3.2,3.3,0.631,12.2
Lao People's Democratic Republic,63.6,218,10,5.95,0,74,153,18,13,76,2.75,74,0.3,,,9.3,9.5,0.535,9.6
Latvia,72.8,18,0,9.8,1109.969508,91,0,58.9,0,92,6.55,92,0.1,11326.21947,297555,2.2,2.3,0.815,16
Lebanon,74.9,94,1,1.58,805.3956346,81,12,63.5,1,75,7.19,81,0.1,8763.826274,4337141,4.7,4.7,0.752,13.3
Lesotho,51.1,527,4,2.71,154.8705998,93,2488,29.7,6,92,1.87,93,13.4,1173.26212,24551,7.2,7,0.464,10.9
Liberia,59.7,272,9,3.64,41.91052416,47,2200,24.5,13,71,11.87,7,1.8,327.42597,3948125,7.4,7.2,0.403,9.6
Libya,72.8,132,2,0.01,52.50394196,98,0,59.9,2,98,3.5,98,0.1,1212.56217,,5.6,5.4,0.755,14.3
Lithuania,72.4,188,0,12.9,1423.802386,94,2,6,0,95,7.9,95,0.1,11984.86857,397282,2.8,2.8,0.824,16.8
Luxembourg,86,73,0,11.36,2267.252192,94,0,59.2,0,96,7.68,99,0.1,14965.361,56953,0.9,0.9,0.884,13.7
Madagascar,63.3,248,32,1.03,76.60442169,7,1,18,45,7,4.86,7,0.5,412.739341,2115164,7.6,7.5,0.503,10.2
Malawi,52.9,462,35,1.08,9.728005297,93,118712,17.6,54,86,1.5,93,13.7,458.8681744,1516795,6.8,6.7,0.43,10.2
Malaysia,74.1,131,3,0.49,65.56659662,96,73,35.3,4,96,3.99,96,0.1,971.356987,28112289,8.2,8,0.764,12.8
Maldives,76.7,73,0,1.83,91.13971812,97,0,22.1,0,97,7.93,96,0.1,633.79498,367,14,14.1,0.653,11.6
Mali,56.5,273,54,0.6,9.585584394,72,1719,2.7,91,77,6.35,73,1.5,78.377632,157585,8.8,8.5,0.396,7.3
Malta,83,62,0,7.91,278.0687051,75,0,67.6,0,76,8.3,76,0.1,2187.79469,41458,0.8,0.7,0.819,14.6
Mauritania,62,214,8,0.01,8.353074798,64,1292,27.4,12,52,3.28,64,1.2,123.383675,369543,8.7,8.5,0.484,7.6
Mauritius,73.3,163,0,2.95,0.108055973,99,12,3.7,0,99,5.29,99,0.2,8.376432,1254,7.2,7.2,0.74,14
Mexico,75.6,127,35,5.21,1033.039737,93,0,6.1,40,95,6.39,95,0.1,8959.581416,117318941,1.6,1.6,0.739,12.5
Micronesia (Federated States of),68.7,171,0,1.76,0,88,0,66.4,0,85,13.83,85,0.1,,,0.2,0.2,0.633,11.5
Mongolia,66.3,25,1,5.8,22.31624272,96,7,46.9,2,96,4.7,96,0.1,265.353659,271265,2.2,2.3,0.693,14.3
Montenegro,75.3,115,0,6.56,635.4849381,9,5,59.1,0,93,6.9,94,0.1,6682.281158,619428,2,2,0.787,15
Morocco,72.8,11,20,0.56,183.6592186,98,633,53.6,23,99,5.86,99,0.1,2834.2472,3249639,6.3,6.2,0.603,10.7
Mozambique,54,47,69,0.96,5.743393664,74,2321,2.5,98,73,5.38,74,10.8,419.2258149,2422145,3.7,3.6,0.39,9.3
Myanmar,65.4,29,49,0.3,17.48293752,92,190,19.8,65,9,1.92,9,0.5,987.7365832,5155896,13.1,13.3,0.515,8.8
Namibia,63,299,3,7.58,719.5535161,83,3138,31.8,4,83,7.89,83,6.2,5191.58381,217317,1.4,1.4,0.604,11.4
Nepal,68,178,23,0.24,84.62302524,82,190,16.4,30,83,6.43,82,0.2,592.1835216,2723137,16.7,17.2,0.515,11.1
Netherlands,88,64,1,9.33,1035.621437,,15,59.3,1,97,1.48,97,0.1,5338.25483,16615394,1,0.9,0.906,17
New Zealand,89,71,0,9.62,6664.148708,9,43,64.8,0,93,11.2,93,0.1,33691.34837,,0.3,0.3,0.899,20.3
Nicaragua,73.2,154,3,3.38,302.7045411,98,0,5.2,3,99,6.58,98,0.1,1526.497938,5737723,1.9,1.8,0.614,11.4
Niger,58.2,252,50,0.12,5.883760536,7,372,17.3,95,75,6.36,7,0.9,348.151511,16425578,1.7,1.6,0.312,4.5
Nigeria,52,374,521,8.9,133.1230872,49,8491,22.2,817,54,3.47,54,4.8,2327.3267,158578261,11.3,11.2,0.492,9.5
Norway,81,66,0,6.59,15268.06445,,3,58.9,0,93,9.26,93,0.1,87646.75346,4889252,0.7,0.7,0.936,17.4
Oman,75.6,16,1,0.56,129.2260751,99,3,51.8,1,99,2.74,99,0.1,1928.74739,,6.9,6.8,0.797,13.5
Pakistan,65.1,172,372,0.04,0.66751505,82,4321,21.9,461,82,3.2,82,0.1,14.142268,1756182,2.2,2.7,0.521,7.5
Panama,76.5,122,1,6.94,1199.319976,94,0,54.2,2,95,8.5,94,0.1,7937.259931,3643222,2,1.9,0.756,12.8
Papua New Guinea,61.8,286,10,0.79,18.99961966,56,0,44.9,14,72,4.18,67,1.1,1366.879112,718239,1.4,1.3,0.485,9.6
Paraguay,73.2,152,3,5.65,359.9760397,89,0,46.4,3,85,9.1,89,0.1,3225.591754,629877,2.1,2,0.664,12.4
Peru,73.7,14,10,4.72,69.43934508,93,0,52.2,12,92,5.3,93,0.2,522.493191,29373646,1.1,1.1,0.708,13.3
Philippines,67.9,218,58,4.85,198.2563794,77,6368,22.6,74,78,4.37,79,0.1,2129.499242,93726624,1,9.7,0.662,11.4
Poland,76.3,13,2,10.59,220.4916851,98,13,58.4,2,96,6.88,99,0.1,12599.52486,3842794,2.1,2.2,0.822,15.1
Portugal,79.6,88,0,12.25,3119.349824,97,5,58.1,0,97,1.44,98,0.1,22538.6548,15731,0.7,0.5,0.812,16
Qatar,77.3,76,0,1.16,37.76848819,97,295,66,0,98,2.9,97,0.1,736.22784,,5,4.6,0.825,12
Republic of Korea,87,74,2,9.23,0,94,114,29.5,2,95,6.79,94,0.1,,,1.5,1,,
Republic of Moldova,68.8,219,1,8.25,0,98,0,5.4,1,97,12.8,9,0.1,,,2.8,3,,
Romania,73.4,153,2,9,983.2518091,98,193,56.9,2,94,5.83,94,0.1,8297.483621,2246871,3,3.2,0.797,15.8
Russian Federation,68.4,256,15,11.05,162.8088054,97,129,57.5,17,98,6.83,97,0.2,1674.98771,142849449,2.3,2.5,0.773,13.7
Rwanda,62.8,26,16,7.92,63.78723633,97,121,18.3,23,93,7.91,97,2.3,563.491487,1246842,6.5,6.3,0.454,10
Saint Lucia,74.2,147,0,10.87,0,97,0,43.8,0,97,8.1,97,0.1,,,4.3,4.3,0.724,12.8
Saint Vincent and the Grenadines,72.5,162,0,7,0,99,0,49.3,0,99,4.71,99,0.1,,,3.5,3.5,0.711,13.3
Samoa,72.6,144,0,3.01,434.7940679,57,8,72.5,0,57,5.7,62,0.1,3453.487434,18625,0.2,0.2,0.69,12.9
Sao Tome and Principe,66.2,24,0,5.58,63.04032682,98,0,26.9,0,98,5.24,98,0.5,1129.754961,174776,6.1,6,0.542,10.6
Saudi Arabia,73.7,94,8,0.09,1197.946328,98,334,63.9,9,98,3.49,98,0.1,19259.58726,,7.3,7.4,0.792,13.3
Senegal,64.3,212,21,0.28,1.020071763,89,428,21.7,32,76,4.62,89,0.4,11.631377,12916229,1.4,1.3,0.449,7.7
Serbia,74.4,128,1,9.65,774.4396617,89,20,57,1,91,1.9,91,0.1,5411.87744,7291436,2.2,2.3,0.755,13.6
Seychelles,72.4,18,0,6.51,16.49232317,99,0,33.5,0,99,3.59,99,0.1,184.68447,8977,5.8,6.2,0.74,13.2
Sierra Leone,48.1,424,27,3.84,5.347717533,86,1089,21.7,40,84,1.32,86,1.6,45.128418,645872,8.3,8.2,0.384,8.7
Singapore,82,61,0,1.84,4540.543752,96,50,31.8,0,96,3.96,96,0.1,46569.67951,,2.1,2.1,0.889,14.5
Slovakia,75.1,124,0,10.13,0,99,0,55.9,0,99,8.51,99,0.1,,,1.3,1.3,0.822,15
Slovenia,79.5,87,0,10.32,3187.496219,,2,57,0,96,9.7,96,0.1,23437.4722,248583,1.6,1.6,0.872,16.9
Solomon Islands,68.3,188,0,1.1,29.5207994,9,0,46.4,0,94,7.47,9,0.1,1272.44825,52779,1.2,1.2,0.492,9.3
Somalia,52.4,336,52,0.01,0,,115,22,83,49,,45,0.8,,,7,6.8,,
South Africa,58,428,43,7.28,1038.885632,71,12499,47.2,62,72,8.5,72,11,7362.76139,5979432.36,7.3,8.9,0.63,12.8
South Sudan,55,359,27,,0,,0,,41,,,,4,1562.239346,167192,,,0,0
Spain,81.9,64,1,9.78,578.7417172,97,302,63.5,2,97,9.56,97,0.1,3736.228,46576897,0.6,0.5,0.86,16.4
Sri Lanka,74.5,138,3,2.31,191.7267589,99,79,19.8,4,99,3.43,99,0.1,2819.511161,2119,15.3,15.3,0.739,13.5
Sudan,62.5,243,62,1.77,172.0097884,75,680,,92,9,7.97,9,0.3,1476.47887,34385963,,,0.461,7
Suriname,73,19,0,5.26,99.08095375,86,0,54.8,0,96,5.81,96,0.5,833.31332,52613,3.5,3.4,0.7,12.3
Swaziland,53.6,459,2,4.93,56.93670561,89,313,29.7,4,89,8.47,89,21.6,369.239336,122843,5.4,5.6,0.523,11
Sweden,81.5,58,0,7.2,778.2477467,,6,57.3,0,98,9.47,98,0.1,5276.25591,9378126,1.3,1.3,0.895,15.8
Switzerland,82.3,57,0,10.01,2198.590865,,77,55.4,0,96,11.7,95,0.1,74276.71842,782499,0.5,0.4,0.92,15.4
Syrian Arab Republic,73.7,127,7,0.78,0,84,26,52.3,9,83,3.28,8,0.1,,2118834,6.4,6.1,0.65,11.7
Tajikistan,67.3,171,10,0.32,43.34099958,93,0,36.6,12,95,6.4,93,0.2,738.3475227,764163,3.7,3.8,0.603,11.1
Thailand,73.9,158,10,5.95,71.6850913,98,2583,27.9,12,99,3.81,99,0.2,575.32176,672888,8.2,8.3,0.711,13.1
The former Yugoslav republic of Macedonia,74.7,18,0,1.47,0,9,217,57.4,0,95,6.83,95,0.1,,,2.3,2.3,0.732,13
Timor-Leste,66.9,163,2,0.1,38.58376645,72,50,15.5,3,72,0.92,72,0.1,849.8626972,119591,11.5,11.5,0.599,12.4
Togo,57.4,323,14,1.21,41.96145465,83,120,21.4,21,83,5.37,83,3.8,487.9238913,652952,7.3,7.2,0.449,11
Tonga,72.8,142,0,1.24,471.8307668,82,0,72.7,0,84,4.59,82,0.1,3547.59975,14137,0.1,0.1,0.707,14.4
Trinidad and Tobago,74,179,0,6.5,1389.772683,9,0,42,0,91,5.29,9,0.4,16683.94578,13281,5.9,6.3,0.772,12.5
Tunisia,74.8,12,3,1.28,64.85616718,98,1,56.5,3,98,6.54,98,0.1,414.15177,1639931,6.3,6.3,0.71,14.4
Turkey,74.2,116,21,1.49,32.78235828,96,7,61.9,25,97,5.61,97,0.1,1672.5693,72326914,4.9,4.7,0.715,13
Turkmenistan,65.8,211,7,2.48,385.325164,96,0,44.2,8,96,1.99,96,0.1,4439.23,58721,3.2,3.3,0,10.6
Uganda,58.4,362,79,10.03,116.202964,8,1313,16.3,119,79,11.2,8,8,594.9972557,33915133,6,6,0.473,10.9
Ukraine,69.8,212,5,8.39,375.6835376,48,39,58.5,6,57,7.81,52,0.2,2965.142365,45877,2.4,2.5,0.728,14.9
United Arab Emirates,76.2,82,1,1.69,308.0660742,94,87,55.8,1,94,3.93,94,0.1,3549.14832,,5.1,4.9,0.826,13.3
United Kingdom of Great Britain and Northern Ireland,82,77,3,10.88,0,,443,63.6,4,94,9.51,94,0.1,,,0.8,0.5,,
United Republic of Tanzania,57.5,36,89,4.19,0,91,167,2.7,131,94,5.3,91,4.6,,,7.1,7.1,,
United States of America,78.7,15,25,8.55,0,92,63,66.9,30,93,17.2,95,0.1,,,0.7,0.6,,
Uruguay,76.3,118,0,6.21,2331.532804,95,0,61.2,1,95,8.63,95,0.1,11938.212,3374415,1.5,1.5,0.777,15.6
Uzbekistan,68.3,183,20,2.73,119.4571154,99,117,4.7,23,99,5.34,99,0.2,1377.8214,285624,3,3.1,0.657,11.9
Vanuatu,71,145,0,0.91,471.8626525,62,0,49.1,0,66,4.71,65,0.1,2965.82434,236295,1.5,1.4,0.59,10.8
Venezuela (Bolivarian Republic of),73.7,158,9,7.22,0,78,0,59.3,10,74,5.4,78,0.1,,,1.6,1.5,0.754,14
Viet Nam,75.2,133,29,3.93,0,88,2809,14,35,94,6.36,93,0.1,,,14.5,15.4,0.647,11.9
Yemen,64.4,233,35,0.06,0,76,510,37.2,45,77,5.17,76,0.1,,,13.7,13.7,0.488,8.5
Zambia,58,363,30,2.47,184.3649102,83,15754,2.7,45,8,4.41,83,6.8,1463.213573,138533,6.7,6.5,0.533,11.8
Zimbabwe,52.4,527,29,5.21,53.30858081,9,9696,29.4,44,89,5.37,89,15.7,713.63562,1486317,7.1,7,0.436,10